time,open,high,low,Close,tick_volume,spread,real_volume
1611540000,13453.37,13475.15,13452.4,13473.62,1217,400,0
1611543600,13473.68,13477.29,13467.83,13469.35,1060,402,0
1611547200,13468.98,13475.21,13468.98,13471.98,717,400,0
1611550800,13472.19,13482.92,13469.04,13474.37,1039,399,0
1611554400,13474.55,13476.59,13466.63,13472.87,1067,399,0
1611558000,13473.04,13493.16,13467.03,13490.33,1182,410,0
1611561600,13490.15,13491.06,13477.86,13489.5,1781,410,0
1611565200,13489.45,13511.25,13488.39,13497.99,1675,417,0
1611568800,13497.76,13504.3,13484.51,13504.3,1416,402,0
1611572400,13504.77,13505.07,13484.88,13492.23,1411,405,0
1611576000,13491.31,13521.66,13485.76,13490.04,2292,417,0
1611579600,13489.71,13518.84,13488.67,13496.23,2237,416,0
1611583200,13496.37,13568.14,13496.02,13553.54,3118,414,0
1611586800,13552.81,13563.86,13356.26,13361.36,4250,427,0
1611590400,13360.09,13411.67,13202.41,13411.67,6047,452,0
1611594000,13412.58,13436.47,13327.16,13434.61,4243,441,0
1611597600,13445.3,13458.69,13425.77,13447.74,1345,445,0
1611601200,13448.29,13463.81,13417.7,13450.58,3259,429,0
1611604800,13449.78,13492.39,13389.87,13487.54,3663,443,0
1611615600,13481.86,13485.05,13475.42,13476.53,502,430,0
1611619200,13475.64,13480.45,13456.6,13459.5,1493,420,0
1611622800,13460.63,13463.92,13444.84,13458.85,1673,411,0
1611626400,13459.05,13463.05,13441.41,13446.24,1603,410,0
1611630000,13445.39,13449.02,13436.88,13443.6,1374,406,0
1611633600,13444.28,13446.01,13394.71,13401.85,1472,404,0
1611637200,13402.57,13427.18,13401.91,13416.43,1694,414,0
1611640800,13416.75,13421.99,13397.34,13402.97,1566,417,0
1611644400,13402.6,13430.46,13401.33,13417.94,1963,438,0
1611648000,13418.93,13460.69,13416.11,13455.71,2141,415,0
1611651600,13455.67,13469.88,13437.71,13444.22,1886,414,0
1611655200,13444.29,13455.28,13434.87,13449.7,1536,408,0
1611658800,13449.78,13492.41,13446.2,13477.25,1846,416,0
1611662400,13476.72,13502.1,13476.32,13479.94,1918,426,0
1611666000,13480.67,13493.37,13466.01,13491.76,1805,418,0
1611669600,13492.44,13521.97,13440.45,13490.99,3477,420,0
1611673200,13492.06,13535.6,13453.93,13521.79,4116,426,0
1611676800,13522.54,13545.53,13467.97,13470.92,3675,426,0
1611680400,13470.83,13507.65,13469.86,13492.02,2947,402,0
1611684000,13492.27,13525.58,13481.29,13513.0,2647,394,0
1611687600,13513.26,13523.78,13493.73,13509.34,2807,393,0
1611691200,13509.47,13520.45,13482.81,13497.82,3084,409,0
1611702000,13593.13,13594.16,13565.88,13573.2,749,448,0
1611705600,13573.71,13579.49,13557.57,13569.14,1400,425,0
1611709200,13569.43,13581.81,13552.85,13564.51,1743,422,0
1611712800,13564.27,13568.14,13550.58,13559.8,1542,413,0
1611716400,13559.43,13569.28,13549.13,13560.34,1165,409,0
1611720000,13560.18,13565.03,13554.72,13561.61,925,405,0
1611723600,13561.2,13580.11,13559.4,13576.57,1384,411,0
1611727200,13576.69,13585.34,13563.63,13568.45,1289,424,0
1611730800,13567.75,13570.88,13561.55,13568.01,1212,423,0
1611734400,13567.71,13567.71,13541.97,13551.99,2157,412,0
1611738000,13551.44,13579.08,13551.2,13563.17,1648,404,0
1611741600,13562.39,13566.4,13536.81,13538.32,1734,408,0
1611745200,13537.58,13538.16,13459.68,13464.49,2719,420,0
1611748800,13467.02,13493.92,13370.84,13370.84,3893,475,0
1611752400,13371.91,13410.48,13366.48,13407.3,3068,422,0
1611756000,13407.84,13415.67,13182.85,13293.73,5424,425,0
1611759600,13295.08,13395.92,13276.75,13377.73,5145,468,0
1611763200,13376.76,13377.76,13226.89,13230.91,4378,446,0
1611766800,13230.0,13340.87,13217.16,13331.74,3930,441,0
1611770400,13332.49,13343.41,13265.88,13281.59,3708,446,0
1611774000,13282.66,13315.92,13118.31,13133.33,4991,451,0
1611777600,13132.47,13160.78,13034.38,13131.23,5759,494,0
1611788400,13012.26,13020.41,12967.27,12990.87,1565,482,0
1611792000,12991.42,13039.28,12988.05,13026.7,2910,446,0
1611795600,13026.03,13138.25,13021.31,13119.34,3077,467,0
1611799200,13120.37,13133.71,13030.56,13072.29,2753,458,0
1611802800,13072.33,13098.41,13042.45,13076.85,2516,449,0
1611806400,13076.91,13087.16,13023.81,13028.53,2304,450,0
1611810000,13029.02,13075.6,13027.16,13043.2,2220,432,0
1611813600,13042.17,13055.77,13014.7,13032.4,2124,440,0
1611817200,13033.2,13040.85,12979.36,13014.85,2815,439,0
1611820800,13013.73,13050.65,12932.11,12947.98,3478,445,0
1611824400,12948.45,12986.1,12919.03,12975.96,3228,463,0
1611828000,12976.76,13007.84,12950.32,12972.56,3023,456,0
1611831600,12971.76,13054.79,12954.35,13017.5,3058,449,0
1611835200,13016.39,13081.58,13009.8,13033.63,2963,445,0
1611838800,13032.51,13139.84,12985.01,13131.28,3405,434,0
1611842400,13131.27,13258.81,13126.66,13199.66,4739,439,0
1611846000,13201.64,13296.26,13191.91,13287.26,5360,487,0
1611849600,13288.32,13326.89,13265.72,13318.85,4086,445,0
1611853200,13320.08,13394.78,13319.76,13378.14,3485,432,0
1611856800,13378.93,13404.76,13361.55,13388.21,3290,426,0
1611860400,13389.06,13395.29,13307.23,13342.45,3624,431,0
1611864000,13339.9,13341.16,13186.43,13198.22,4420,467,0
1611874800,13187.61,13195.58,13138.76,13146.59,1160,485,0
1611878400,13146.83,13173.51,13123.68,13136.31,2406,444,0
1611882000,13135.5,13169.85,13072.9,13078.34,2753,456,0
1611885600,13078.53,13095.34,13066.58,13080.86,2564,450,0
1611889200,13080.8,13086.24,13005.51,13006.5,2519,440,0
1611892800,13006.56,13027.75,12974.21,13020.08,2746,439,0
1611896400,13019.19,13027.36,12981.36,13013.77,2794,447,0
1611900000,13012.87,13072.0,12985.19,13069.44,2539,447,0
1611903600,13069.4,13084.69,12975.58,13011.72,3228,448,0
1611907200,13010.5,13037.45,12943.52,13029.52,3848,470,0
1611910800,13030.52,13053.73,12987.87,13004.03,3115,459,0
1611914400,13003.74,13053.59,12950.83,13048.64,2920,452,0
1611918000,13047.94,13106.05,13022.32,13073.69,2974,456,0
1611921600,13073.49,13109.23,13046.3,13054.84,2875,446,0
1611925200,13055.03,13175.65,13005.85,13140.15,3963,457,0
1611928800,13140.0,13147.7,13008.91,13094.05,5022,444,0
1611932400,13094.9,13167.83,13036.25,13116.6,5204,459,0
1611936000,13117.19,13132.95,12974.79,13041.34,5004,455,0
1611939600,13039.91,13055.57,12842.97,12867.2,5125,453,0
